TIME_PERIOD,OBS_VALUE,AGE,REGION
2020,6.4,Y_GE15,IT
2021,6.9,Y_GE15,IT
2022,7.6,Y_GE15,IT
2023,8.1,Y_GE15,IT
2024,8.7,Y_GE15,IT
