TIME_PERIOD,OBS_VALUE,NACE_R2,REGION
2020,21.6,TOTAL,IT
2021,21.8,TOTAL,IT
2022,22.4,TOTAL,IT
2023,22.9,TOTAL,IT
2024,23.6,TOTAL,IT
